Date,Open,High,Low,Close
01-01-2014,-,-,-,17436.97
02-01-2014,-,-,-,17013.87
03-01-2014,-,-,-,17029.43
06-01-2014,-,-,-,17030.70
07-01-2014,-,-,-,16836.47
08-01-2014,-,-,-,16865.72
09-01-2014,-,-,-,16768.73
10-01-2014,-,-,-,16601.44
13-01-2014,-,-,-,16584.73
14-01-2014,-,-,-,16565.99
15-01-2014,-,-,-,16703.79
16-01-2014,-,-,-,16590.12
17-01-2014,-,-,-,16455.05
20-01-2014,-,-,-,16590.01
21-01-2014,-,-,-,16653.52
22-01-2014,-,-,-,16685.34
23-01-2014,-,-,-,16645.14
24-01-2014,-,-,-,16275.87
27-01-2014,-,-,-,15710.71
28-01-2014,-,-,-,15752.65
29-01-2014,-,-,-,15845.42
30-01-2014,-,-,-,15574.85
31-01-2014,-,-,-,15893.95
03-02-2014,-,-,-,15638.80
04-02-2014,-,-,-,15703.76
05-02-2014,-,-,-,15774.54
06-02-2014,-,-,-,15834.67
07-02-2014,-,-,-,15964.12
10-02-2014,-,-,-,15874.84
11-02-2014,-,-,-,15925.87
12-02-2014,-,-,-,15894.02
13-02-2014,-,-,-,15678.28
14-02-2014,-,-,-,15738.82
17-02-2014,-,-,-,15708.99
18-02-2014,-,-,-,15842.28
19-02-2014,-,-,-,15888.81
20-02-2014,-,-,-,15864.47
21-02-2014,-,-,-,15950.54
24-02-2014,-,-,-,15944.36
25-02-2014,-,-,-,15898.42
26-02-2014,-,-,-,15837.91
28-02-2014,-,-,-,16019.15
03-03-2014,-,-,-,15930.65
04-03-2014,-,-,-,16173.88
05-03-2014,-,-,-,16268.75
06-03-2014,-,-,-,16545.64
07-03-2014,-,-,-,16785.35
10-03-2014,-,-,-,16903.14
11-03-2014,-,-,-,16776.54
12-03-2014,-,-,-,16725.13
13-03-2014,-,-,-,16582.29
14-03-2014,-,-,-,16622.33
18-03-2014,-,-,-,16843.39
19-03-2014,-,-,-,16949.79
20-03-2014,-,-,-,16713.29
21-03-2014,-,-,-,16786.98
24-03-2014,-,-,-,16925.11
25-03-2014,-,-,-,17003.28
26-03-2014,-,-,-,17064.76
27-03-2014,-,-,-,17136.85
28-03-2014,-,-,-,17571.26
31-03-2014,-,-,-,17848.80
01-04-2014,-,-,-,17842.42
02-04-2014,-,-,-,18062.98
03-04-2014,-,-,-,17928.33
04-04-2014,-,-,-,18004.90
07-04-2014,-,-,-,18062.35
09-04-2014,-,-,-,18379.22
10-04-2014,-,-,-,18650.31
11-04-2014,-,-,-,18581.29
15-04-2014,-,-,-,18247.08
16-04-2014,-,-,-,18060.11
17-04-2014,-,-,-,18352.10
21-04-2014,-,-,-,18580.04
22-04-2014,-,-,-,18579.45
23-04-2014,-,-,-,18493.48
25-04-2014,-,-,-,18461.16
28-04-2014,-,-,-,18536.69
29-04-2014,-,-,-,18362.46
30-04-2014,-,-,-,18011.89
02-05-2014,-,-,-,18068.18
05-05-2014,-,-,-,18058.29
06-05-2014,-,-,-,18090.43
07-05-2014,-,-,-,17997.00
08-05-2014,-,-,-,17942.64
09-05-2014,-,-,-,18378.40
12-05-2014,-,-,-,18645.95
13-05-2014,-,-,-,19084.67
14-05-2014,-,-,-,19499.63
